Year,Month,RecreationVisits,UnitCode
1979,1,6011,ACAD
1979,2,5243,ACAD
1979,3,11165,ACAD
1979,4,219351,ACAD
1979,5,339416,ACAD
1979,6,543205,ACAD
1979,7,383341,ACAD
1979,8,466928,ACAD
1979,9,320138,ACAD
1979,10,300976,ACAD
1979,11,183750,ACAD
1979,12,7842,ACAD
1980,1,8966,ACAD
1980,2,8225,ACAD
1980,3,7505,ACAD
1980,4,182879,ACAD
1980,5,209301,ACAD
1980,6,359552,ACAD
1980,7,533885,ACAD
1980,8,633067,ACAD
1980,9,282636,ACAD
1980,10,332937,ACAD
1980,11,200461,ACAD
1980,12,20252,ACAD
1981,1,23330,ACAD
1981,2,16207,ACAD
1981,3,21923,ACAD
1981,4,188071,ACAD
1981,5,212500,ACAD
1981,6,366518,ACAD
1981,7,545981,ACAD
1981,8,616233,ACAD
1981,9,463823,ACAD
1981,10,313788,ACAD
1981,11,203741,ACAD
1981,12,25857,ACAD
1982,1,21425,ACAD
1982,2,22210,ACAD
1982,3,36866,ACAD
1982,4,193208,ACAD
1982,5,261452,ACAD
1982,6,404915,ACAD
1982,7,737860,ACAD
1982,8,574164,ACAD
1982,9,541721,ACAD
1982,10,446170,ACAD
1982,11,303753,ACAD
1982,12,28370,ACAD
1983,1,23771,ACAD
1983,2,24667,ACAD
1983,3,25576,ACAD
1983,4,207347,ACAD
1983,5,287861,ACAD
1983,6,435142,ACAD
1983,7,916474,ACAD
1983,8,715624,ACAD
1983,9,668981,ACAD
1983,10,529524,ACAD
1983,11,262444,ACAD
1983,12,27228,ACAD
1984,1,24273,ACAD
1984,2,26185,ACAD
1984,3,37289,ACAD
1984,4,229638,ACAD
1984,5,271964,ACAD
1984,6,458908,ACAD
1984,7,790392,ACAD
1984,8,865843,ACAD
1984,9,443622,ACAD
1984,10,361873,ACAD
1984,11,194735,ACAD
1984,12,30041,ACAD
1985,1,31360,ACAD
1985,2,23261,ACAD
1985,3,46315,ACAD
1985,4,261410,ACAD
1985,5,341775,ACAD
1985,6,432926,ACAD
1985,7,725951,ACAD
1985,8,816294,ACAD
1985,9,451026,ACAD
1985,10,373037,ACAD
1985,11,206970,ACAD
1985,12,35245,ACAD
1986,1,28369,ACAD
1986,2,33055,ACAD
1986,3,47390,ACAD
1986,4,257926,ACAD
