Name,Code,long,lat
Jefferson National Expansion Memorial,JEFF,-90.18595301180287,38.62254009262406
National Park of American Samoa,NPSA,-169.45380760526996,-14.239727732693918
Virgin Islands National Park,VIIS,-64.77111048899694,18.353798617233704
Hot Springs National Park,HOSP,-93.08972185108273,34.51113822506357
Indiana Dunes National Lakeshore,INDU,-87.03241529098068,41.661457848148025
Acadia National Park,ACAD,-68.24411197733804,44.350751388328206
Haleakala National Park,HALE,-156.14709314319208,20.704512129332194
New River Gorge National River,NERI,-80.9897043635666,37.84026693367752
Congaree National Park,CONG,-80.81835232616444,33.8062043146765
Black Canyon Of The Gunnison National Park,BLCA,-107.72398016641485,38.577392252894334
Cuyahoga Valley National Park,CUVA,-81.5690344075238,41.26071335500069
Carlsbad Caverns National Park,CAVE,-104.52776563457927,32.15234275399143
Hawaii Volcanoes National Park,HAVO,-155.2118228719388,19.32614215615518
Mammoth Cave National Park,MACA,-86.13090198191068,37.197604576779035
Pinnacles National Monument,PINN,-121.18110088326603,36.4901310064952
Crater Lake National Park,CRLA,-122.13525870459277,42.94443605194011
Everglades National Park,EVER,-80.95349638622787,25.27225616404826
Grand Canyon National Park,GRCA,-112.19586332050201,36.186683141213514
Great Smoky Mountains National Park,GRSM,-83.77104780772574,35.53381126341195
Isle Royale National Park,ISRO,-89.10441847731086,47.900839582369585
Mount Rainier National Park,MORA,-121.70574507946985,46.86055919903173
North Cascades National Park,NOCA,-121.34755778363238,48.83303940981537
Olympic National Park,OLYM,-123.6194451629227,47.79453520449651
Rocky Mountain National Park,ROMO,-105.69838532231373,40.35579839722149
Saguaro National Park,SAGU,-110.60831406159426,32.178836085393556
Shenandoah National Park,SHEN,-78.67619962877342,38.28108210674896
Glacier National Park,GLAC,-113.80079159548487,48.68426876066877
Arches National Park,ARCH,-109.59545602760868,38.707917632251544
Voyageurs National Park,VOYA,-92.98057129969759,48.51716932219992
Theodore Roosevelt National Park,THRO,-103.45925080636415,46.953620966658086
Dry Tortugas National Park,DRTO,-82.86655423155601,24.654395618647623
White Sands National Monument,WHSA,-106.33507223593554,32.779133376019175
Bryce Canyon National Park,BRCA,-112.18266888744083,37.58399143875251
Yellowstone National Park,YELL,-110.49008302275851,44.583032217213656
Grand Teton National Park,GRTE,-110.70546656038158,43.81853565368195
Badlands National Park,BADL,-102.39394509554067,43.8340624087368
Zion National Park,ZION,-112.95443162869537,37.255709497131065
Mesa Verde National Park,MEVE,-108.50092888589481,37.22351315320654
Great Basin National Park,GRBA,-114.25797817448695,38.946173783127065
Capitol Reef National Park,CARE,-111.00329294577273,37.795992535017426
Canyonlands National Park,CANY,-109.88314625527481,38.272072876214835
Great Sand Dunes National Park & Preserve,GRSA,-105.57832630519154,37.759942701007226
Lassen Volcanic National Park,LAVO,-121.41212664904383,40.48622026090819
Petrified Forest National Park,PEFO,-109.67471774572405,34.98868180401879
Biscayne National Park,BISC,-80.21830159269447,25.469689246647114
Guadalupe Mountains National Park,GUMO,-104.88434717034703,31.923384209391674
Wind Cave National Park,WICA,-103.42877641689412,43.60787178123641
Big Bend National Park,BIBE,-103.22978967302261,29.298177668897967
Death Valley National Park,DEVA,-117.13511154435771,36.48741910067162
Redwood National and State Parks,REDW,-124.00482968014182,41.27702956462916
Yosemite National Park,YOSE,-119.55600729459782,37.84893656911814
Kings Canyon National Park,KICA,-118.59384064032848,36.8749421087923
Joshua Tree National Park,JOTR,-116.15907084356105,33.98096522850808
Channel Islands National Park,CHIS,-119.7251698451474,34.00392978229205
Denali National Park & Preserve,DENA,-151.05263550282112,63.29777436004586
Gates Of The Arctic National Park & Preserve,GAAR,-153.26413231698794,67.9192854407937
Glacier Bay National Park & Preserve,GLBA,-136.84071732838277,58.80086474447531
Katmai National Park & Preserve,KATM,-155.01341050350874,58.622573966764584
Kenai Fjords National Park,KEFJ,-149.88152448868524,59.95389688763184
Kobuk Valley National Park,KOVA,-159.06308334658615,67.28263652770183
Lake Clark National Park & Preserve,LACL,-153.6018441528228,60.64679690935658
Wrangell - St Elias National Park & Preserve,WRST,-142.60357111369407,61.41843937955613
Sequoia NP,SEQU,-118.5658,36.4864
